Type,Post Date,Description,Amount,Check or Slip #
DEBIT,11/24/2014,"BLINK MOTO #620 888-566-4223 NY              11/23",-15.68,
DEBIT,11/21/2014,"TRADER JOE'S # 543 NEW YORK NY       746763  11/21",-14.44,
DEBIT,11/19/2014,"CALTRAIN TVM SAN CARLOS CA                   11/17",-14.50,
DEBIT,11/19/2014,"TRADER JOE'S # 543 NEW YORK NY       302900  11/19",-12.22,
DEBIT,11/19/2014,"TRADER JOE'S # 543 NEW YORK NY       409459  11/19",-41.00,
DEBIT,11/18/2014,"LIRR TVM JAMAICA NY                          11/18",-9.50,
DEBIT,11/17/2014,"OTG JFK T5 VENTURE, LLC JAMAICA NY           11/14",-5.76,
DEBIT,11/17/2014,"IN-N-OUT BURGER #191 MANTECA CA              11/16",-6.73,
DEBIT,11/17/2014,"BART MILLBRAE STAT QPS MILLBRAE CA           11/17",-9.00,
DEBIT,11/17/2014,"SOCKSHOP HAIGHT/1742 SAN FRANCISCO CA323032  11/17",-33.71,
DEBIT,11/17/2014,"WHOLEFDS STN 103 690 San Francisco CA049948  11/17",-4.58,
DEBIT,11/17/2014,"BARNESNOBLE 1091 El C Redwood City CA823573  11/17",-4.31,
DEBIT,11/14/2014,"B&H PHOTO STORE NEW YORK NY                  11/13",-174.19,
DEBIT,11/14/2014,"BART MILLBRAE STAT QPS MILLBRAE CA           11/14",-4.50,
DEBIT,11/13/2014,"LIRR TVM JAMAICA NY                          11/13",-7.00,
DEBIT,11/13/2014,"METROCARD VALUE @ AIRT NEW YORK NY   362063  11/13",-10.00,
CREDIT,11/12/2014,"Online Transfer from SAV ...9608 transaction#: 4264505285",450.00,
DEBIT,11/12/2014,"MCDONALD'S F22454 FAIRLAWN NJ                11/09",-1.07,
DEBIT,11/12/2014,"CVS 02435 02435--75 CH NEW YORK NY   811546  11/11",-2.29,
DEBIT,11/12/2014,"THE VITAMIN SHOPPE #42 NEW YORK NY           11/12",-34.17,
CREDIT,11/10/2014,"Online Transfer from SAV ...9608 transaction#: 4259409155",400.00,
DEBIT,11/10/2014,"THRIFTCARE PHARMACY BROOKLYN NY      000562  11/09",-1.99,
DEBIT,11/10/2014,"Online Payment 4259424817 To CAPITAL ONE 11/10",-225.00,
DEBIT,11/10/2014,"Online Payment 4259424818 To CAPITAL ONE 11/10",-138.44,
DEBIT,11/10/2014,"MTA VENDING MACHINES NEW YORK NY     262896  11/09",-5.00,
DEBIT,11/10/2014,"SQ *GIMME COFFEE STATE Ithaca NY             11/10",-13.75,
DEBIT,11/10/2014,"WEGMANS   500 S. MEADO ITHACA NY             11/10",-4.96,
DEBIT,11/07/2014,"THUMBTACK, INC. 855-846-2825 CA              11/06",-3.33,
DEBIT,11/06/2014,"ROASTING PLANT COFFEE NEW YORK NY            11/05",-4.36,
DEBIT,11/06/2014,"TRADER JOE'S # 543 NEW YORK NY       249040  11/06",-41.00,
DEBIT,11/05/2014,"TRADER JOE'S # 543 NEW YORK NY       912209  11/05",-11.04,
DEBIT,11/04/2014,"APL* ITUNES.COM/BILL 866-712-7753 CA         11/04",-3.26,
DEBIT,11/04/2014,"CVS 02435 02435--75 CH NEW YORK NY   363515  11/04",-6.66,
DEBIT,11/04/2014,"ATM WITHDRAWAL                       004296  11/04204 W 4TH",-40.00,
DEBIT,11/04/2014,"Online Payment 4249389816 To conEdison 11/04",-19.81,
DEBIT,11/04/2014,"Online Payment 4249389834 To National Grid 11/04",-18.37,
CREDIT,11/03/2014,"VENMO            CASHOUT    31400067        CCD ID: 1264681992",80.79,
DEBIT,10/30/2014,"Duane Reade 71 W 23RD NEW YORK NY    858897  10/30",-15.99,
DEBIT,10/29/2014,"TRADER JOE'S # 543 NEW YORK NY       909716  10/29",-7.95,
DEBIT,10/29/2014,"TRADER JOE'S # 543 NEW YORK NY       515213  10/29",-66.93,
CREDIT,10/28/2014,"VENMO            VERIFYBANK 30690710        CCD ID: 1264681992",0.35,
CREDIT,10/28/2014,"VENMO            VERIFYBANK 30690711        CCD ID: 1264681992",0.05,
DEBIT,10/28/2014,"LULA BAGEL BROOKLYN NY                       10/26",-15.50,
DEBIT,10/28/2014,"BARBONCINO BROOKLYN NY                       10/26",-48.00,
DEBIT,10/28/2014,"CVS 02435 02435--75 CH NEW YORK NY   722677  10/28",-2.87,
DEBIT,10/28/2014,"VENMO            VERIFYBANK 30690712        CCD ID: 2264681992",-0.35,
DEBIT,10/28/2014,"VENMO            VERIFYBANK 30690713        CCD ID: 2264681992",-0.05,
CREDIT,10/27/2014,"Online Transfer from SAV ...9608 transaction#: 4232766198",300.00,
DEBIT,10/27/2014,"CVS 02435 02435--75 CH NEW YORK NY   728048  10/24",-2.87,
DEBIT,10/27/2014,"LULA BAGEL BROOKLYN NY                       10/25",-8.25,
DEBIT,10/27/2014,"THE VITAMIN SHOPPE  24 BROOKLYN NY           10/26",-34.17,
DEBIT,10/24/2014,"MURRAYS BAGEL NEW YORK NY                    10/22",-5.39,
DEBIT,10/24/2014,"Irving Farm Coffee Roas New York NY          10/22",-5.69,
DEBIT,10/24/2014,"STARBUCKS CARD RELOAD 800-782-7282 WA        10/24",-20.00,
DEBIT,10/24/2014,"BLINK MOTO #620 888-566-4223 NY              10/23",-15.68,
DEBIT,10/23/2014,"JETBLUE     27921201 SALT LAKE CTY UT        10/21",-247.98,
DEBIT,10/23/2014,"GLORIAS IN AND OUT III BROOKLYN NY           10/21",-8.71,
DEBIT,10/23/2014,"THE HOME DEPOT 6175 NEW YORK NY      913946  10/23",-7.45,
CREDIT,10/21/2014,"Online Transfer from SAV ...9608 transaction#: 4223062365",200.00,
DEBIT,10/20/2014,"COACHUSA/MEGABUS 201-225-7580 NJ             10/17",-45.50,
DEBIT,10/20/2014,"TARGET T1508 TARGET T1 ITHACA NY     830560  10/19",-7.60,
DEBIT,10/20/2014,"COACHUSA/MEGABUS 201-225-7580 NJ             10/19",-45.50,
DEBIT,10/17/2014,"SQ *MADE MAN BARBER SHO New York NY          10/16",-29.53,
CREDIT,10/16/2014,"Online Transfer from SAV ...9608 transaction#: 4214526164",216.15,
DEBIT,10/14/2014,"CHIPOTLE 0643 NEW YORK NY                    10/10",-9.00,
DEBIT,10/14/2014,"BARBONCINO BROOKLYN NY                       10/10",-30.00,
DEBIT,10/14/2014,"BUFFALO EXCHANGE NY03 NEW YORK NY            10/11",-28.00,
DEBIT,10/14/2014,"FISHS EDDY NEW YORK NY                       10/11",-8.60,
DEBIT,10/14/2014,"THE VITAMIN SHOPPE #42 NEW YORK NY           10/11",-2.59,
DEBIT,10/14/2014,"TRADER JOE'S # 543 NEW YORK NY       470056  10/11",-48.40,
DEBIT,10/14/2014,"CATFISH BROOKLYN NY                          10/12",-25.78,
DEBIT,10/14/2014,"NON-CHASE ATM WITHDRAW               052962  10/13643 Vande",-22.25,
DEBIT,10/14/2014,"NON-CHASE ATM FEE-WITH",-2.00,
DEBIT,10/10/2014,"GOURMET GARAGE-7TH AVS NEW YORK NY   981431  10/10",-3.29,
DEBIT,10/09/2014,"H&M NEW YORK NY                      210140  10/09",-5.95,
DEBIT,10/09/2014,"H&M NEW YORK NY                      249185  10/09",-14.95,
DEBIT,10/09/2014,"Duane Reade 55 E 55TH NEW YORK NY    325220  10/09",-2.69,
DEBIT,10/08/2014,"TRADER JOE'S # 543 NEW YORK NY       000457  10/08",-4.48,
DEBIT,10/06/2014,"UQ ATLANTIC TERM US004 BROOKLYN NY   766461  10/04",-35.80,
DSLIP,10/03/2014,"REMOTE ONLINE DEPOSIT #          1",150.00,1
CREDIT,10/03/2014,"Online Transfer from SAV ...9608 transaction#: 4189658833",300.00,
DEBIT,10/03/2014,"Online Payment 4189647371 To CAPITAL ONE 10/03",-112.00,
DEBIT,10/03/2014,"Online Payment 4189647383 To conEdison 10/03",-18.66,
DEBIT,10/03/2014,"Online Payment 4189647405 To National Grid 10/03",-18.73,
DEBIT,10/03/2014,"BEDBATH&BEYOND# BEDBAT NEW YORK NY   357112  10/03",-35.91,
DEBIT,10/03/2014,"THE VITAMIN SHOPPE #42 NEW YORK NY           10/03",-28.99,
DEBIT,10/03/2014,"TRADER JOE'S # 543 NEW YORK NY       436190  10/03",-53.03,
DEBIT,10/02/2014,"CVS 02435 02435--75 CH NEW YORK NY   824692  10/02",-2.59,
DEBIT,10/01/2014,"OAXACA TAQUERIA BROOKLYN NY                  09/29",-7.57,
DEBIT,10/01/2014,"AMISH MARKET OF TR NEW YORK NY       106377  10/01",-3.99,
DEBIT,09/26/2014,"SAM ASH MUSIC #07 NEW YORK NY                09/25",-50.07,
DEBIT,09/25/2014,"J GUMBO'S NYC, LLC NEW YORK NY               09/24",-9.74,
DEBIT,09/25/2014,"STARBUCKS CARD RELOAD 800-782-7282 WA        09/25",-20.00,
DEBIT,09/25/2014,"TRADER JOE'S # 543 NEW YORK NY       253071  09/25",-27.58,
DEBIT,09/25/2014,"LIRR TVM JAMAICA NY                          09/25",-11.00,
DEBIT,09/25/2014,"LIRR TVM JAMAICA NY                          09/25",-9.00,
DSLIP,09/24/2014,"REMOTE ONLINE DEPOSIT #          1",80.00,1
DEBIT,09/24/2014,"BLINK MOTO #620 888-566-4223 NY              09/23",-15.68,
DEBIT,09/22/2014,"CVS 03224 03224--130 L New York NY   538106  09/21",-2.57,
DEBIT,09/19/2014,"Amazon.com AMZN.COM/BILL WA                  09/19",-54.43,
DEBIT,09/19/2014,"TRADER JOE'S # 543 NEW YORK NY       422698  09/19",-47.98,
CREDIT,09/16/2014,"Online Transfer from SAV ...9608 transaction#: 4156343425",250.00,
DEBIT,09/16/2014,"LIRR TVM JAMAICA NY                          09/16",-11.00,
DEBIT,09/16/2014,"LIRR TVM JAMAICA NY                          09/16",-8.00,
DEBIT,09/15/2014,"NJT PRINCETON JCT 02 PRINCETON JUN NJ        09/14",-14.75,
DEBIT,09/11/2014,"BEDBATH&BEYOND# BEDBAT NEW YORK NY   144419  09/11",16.32,
DEBIT,09/11/2014,"650 SIXTH AVE 650 SIXT NEW YORK NY   823926  09/11",-3.26,
DEBIT,09/11/2014,"BEDBATH&BEYOND# BEDBAT NEW YORK NY   502841  09/11",-33.25,
DEBIT,09/11/2014,"THE VITAMIN SHOPPE #42 NEW YORK NY           09/11",-29.99,
DEBIT,09/11/2014,"BEDBATH&BEYOND# BEDBAT NEW YORK NY   215299  09/11",-23.16,
DEBIT,09/11/2014,"TRADER JOE'S # 543 NEW YORK NY       632314  09/11",-27.93,
DEBIT,09/10/2014,"TRADER JOE'S # 543 NEW YORK NY       982792  09/10",-3.68,
DEBIT,09/10/2014,"AMISH MARKET OF TR NEW YORK NY       192379  09/10",-7.68,
DEBIT,09/08/2014,"MCDONALD'S F27008 BROOKLYN NY                09/05",-5.19,
DEBIT,09/08/2014,"SQ *GIMME COFFEE CAYUGA Ithaca NY            09/06",-12.50,
DEBIT,09/08/2014,"SQ *GIMME COFFEE STATE Ithaca NY             09/07",-7.00,
DEBIT,09/08/2014,"URBANOUTFITTERS URBANO ITHACA NY     019364  09/07",-5.19,
DEBIT,09/08/2014,"WEGMANS   500 S. MEADO ITHACA NY             09/07",-10.40,
DEBIT,09/05/2014,"Duane Reade 535 5TH AV NEW YORK NY   151569  09/05",-7.13,
CREDIT,09/04/2014,"Online Transfer from SAV ...9608 transaction#: 4132841192",250.00,
DEBIT,09/04/2014,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        09/04",-4.01,
DEBIT,09/04/2014,"SUBWAY        03166600 NEW YORK NY           09/03",-7.61,
DEBIT,09/04/2014,"Online Payment 4132840184 To National Grid 09/04",-18.89,
DEBIT,09/04/2014,"Online Payment 4132840181 To conEdison 09/04",-18.08,
DEBIT,09/03/2014,"STARBUCKS CARD RELOAD 800-782-7282 WA        09/03",-20.00,
DEBIT,09/03/2014,"STARBUCKS #11277 NEW YO New York NY          09/02",-2.89,
DEBIT,09/03/2014,"TRADER JOE'S # 543 NEW YORK NY       409737  09/03",-54.92,
DEBIT,09/03/2014,"BLINK MOTO #620 888-566-4223 NY              09/02",-30.31,
DEBIT,09/02/2014,"BARBONCINO BROOKLYN NY                       09/01",-39.84,
DEBIT,09/02/2014,"SQ *LITTLE ZELDA New York NY                 09/01",-10.47,
DEBIT,08/25/2014,"BLINK MOTO #620 888-566-4223 NY              08/23",-15.68,
CREDIT,08/18/2014,"Chase QuickPay Electronic Transfer 4090305615 to Eyal Hai - Returned",102.00,
DEBIT,08/13/2014,"Chase QuickPay Electronic Transfer 4090305615 to Eyal Hai",-102.00,
DEBIT,08/11/2014,"Lumosity.com*8657700 877-7770502 CA          08/10",-69.95,
DEBIT,08/08/2014,"ServiceCenter Airpor Zurich-Airpor           08/07",-27.16,
DEBIT,08/08/2014,"Gepackaufbewahrung Zurich-Flugha             08/07",-16.98,
DEBIT,08/08/2014,"Starbucks Coffee Zurich                      08/07",-5.09,
DEBIT,08/07/2014,"HUDSON NEWS JAMAICA NY                       08/06",-18.50,
CREDIT,08/06/2014,"Online Transfer from SAV ...9608 transaction#: 4077175217",300.00,
DEBIT,08/06/2014,"012 GLOBAL 561-393-1005 FL                   08/05",-20.00,
DEBIT,08/06/2014,"Online Payment 4077173178 To National Grid 08/06",-22.34,
DEBIT,08/06/2014,"LIRR TVM JAMAICA NY                          08/06",-7.00,
DEBIT,08/06/2014,"TARGET T1849 TARGET T1 BROOKLYN NY   852897  08/06",-9.87,
DEBIT,08/06/2014,"VICTORIA'S SECRET STOR BROOKLYN NY   440099  08/06",-4.00,
DEBIT,08/06/2014,"METROCARD VALUE @ AIRT NEW YORK NY   359086  08/06",-6.00,
DEBIT,08/05/2014,"BARNESNOBLE 106 Court Brooklyn NY    508202  08/05",-16.33,
DEBIT,08/05/2014,"TARGET T1849 TARGET T1 BROOKLYN NY   555681  08/05",-21.55,
DEBIT,08/05/2014,"THE VITAMIN SHOPPE  24 BROOKLYN NY           08/05",-10.36,
DEBIT,08/05/2014,"SAKEER DELI GROCERY 22 BROOKLYN NY           08/05",-12.00,
DEBIT,08/04/2014,"Online Payment 4073649212 To conEdison 08/04",-19.81,
DEBIT,08/01/2014,"7-ELEVEN NEW YORK NY                 729905  08/01",-3.25,
CREDIT,07/31/2014,"Online Transfer from SAV ...9608 transaction#: 4065050007",250.00,
DEBIT,07/31/2014,"KOL TUV GROCERY BROOKLYN NY                  07/29",-12.14,
DEBIT,07/31/2014,"THE VITAMIN SHOPPE  76 NEW YORK NY           07/31",-2.59,
DEBIT,07/31/2014,"Online Payment 4065048931 To CAPITAL ONE 07/31",-112.00,
DEBIT,07/30/2014,"THE VITAMIN SHOPPE #42 NEW YORK NY           07/30",-2.59,
DEBIT,07/30/2014,"TRADER JOE'S # 543 NEW YORK NY       413979  07/30",-30.81,
DEBIT,07/28/2014,"BARBONCINO BROOKLYN NY                       07/26",-75.24,
DEBIT,07/24/2014,"CHAVELAS BROOKLYN NY                         07/22",-18.00,
DEBIT,07/24/2014,"727 HARDWARE CO NEW YORK NY                  07/23",-43.57,
DEBIT,07/24/2014,"BLINK MOTO #620 888-566-4223 NY              07/23",-15.68,
CREDIT,07/23/2014,"Online Transfer from SAV ...9608 transaction#: 4050519449",250.00,
DEBIT,07/23/2014,"THE VITAMIN SHOPPE #42 NEW YORK NY           07/23",-5.18,
DEBIT,07/23/2014,"BEDBATH&BEYOND# BEDBAT NEW YORK NY   231946  07/23",-92.03,
DEBIT,07/23/2014,"TRADER JOE'S # 543 NEW YORK NY       206099  07/23",-10.69,
DEBIT,07/22/2014,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        07/21",-7.80,
DEBIT,07/21/2014,"SUBWAY        00319756 NEW YORK NY           07/19",-7.08,
DEBIT,07/21/2014,"PAYPAL *PROSOURCE 402-935-7733 CA            07/19",-5.49,
DEBIT,07/21/2014,"CHAVELAS BROOKLYN NY                         07/19",-11.80,
DEBIT,07/17/2014,"THE VITAMIN SHOPPE #42 NEW YORK NY           07/17",-29.99,
DEBIT,07/17/2014,"TRADER JOE'S # 543 NEW YORK NY       623069  07/17",-44.27,
DEBIT,07/16/2014,"THE VITAMIN SHOPPE #42 NEW YORK NY           07/16",-5.18,
DEBIT,07/14/2014,"STARBUCKS CARD RELOAD 800-782-7282 WA        07/12",-20.00,
DEBIT,07/11/2014,"Staples, Inc NEW YORK NY             563523  07/11",-15.23,
DEBIT,07/11/2014,"TRADER JOE'S # 543 NEW YORK NY       974514  07/11",-30.36,
DEBIT,07/10/2014,"APL* ITUNES.COM/BILL 866-712-7753 CA         07/09",-5.43,
DEBIT,07/10/2014,"Duane Reade 4 COLUMBUS NEW YORK NY   119479  07/10",-1.99,
DEBIT,07/09/2014,"Amazon.com AMZN.COM/BILL WA                  07/09",-33.76,
DEBIT,07/07/2014,"TRADER JOE'S # 543 NEW YORK NY       775870  07/04",-49.33,
DEBIT,07/07/2014,"Online Payment 4017782654 To National Grid 07/07",-37.98,
DEBIT,07/07/2014,"Online Payment 4017782652 To conEdison 07/07",-18.06,
DEBIT,07/03/2014,"A & W PLATTSBURGH PLATTSBURGH NY             07/01",-5.39,
DEBIT,07/02/2014,"DUNKIN #344423     Q35 PLATTSBURGH NY        07/01",-2.26,
DEBIT,07/02/2014,"EXXONMOBIL    97396089 PLATTSBURGH NY        07/01",-1.58,
DEBIT,07/02/2014,"360 EIGHT 360 8TH AVEN NEW YORK NY           07/02",-6.51,
DEBIT,06/30/2014,"CMSVEND*PRESTIGE SERV CLIFTON PARK NY        06/27",-2.50,
CREDIT,06/27/2014,"Online Transfer from SAV ...9608 transaction#: 4000436080",300.00,
DEBIT,06/26/2014,"WHOLE FOODS MARK 250 S Manhattan NY  814121  06/26",-12.65,
DEBIT,06/26/2014,"TARGET T1849 TARGET T1 BROOKLYN NY   231807  06/26",-19.38,
DEBIT,06/24/2014,"MCDONALD'S F2767 NEW YORK NY                 06/22",-1.83,
DEBIT,06/24/2014,"BLINK MOTO #606 888-566-4223 NY              06/23",-15.68,
CREDIT,06/20/2014,"Online Transfer from SAV ...9608 transaction#: 3989052778",250.00,
DEBIT,06/19/2014,"TARGET T2212 TARGET T2 BROOKLYN NY   343654  06/19",-27.65,
DEBIT,06/18/2014,"SUBWAY        03276110 NEW YORK NY           06/17",-5.44,
DEBIT,06/18/2014,"WHOLE FOODS MARK 250 S Manhattan NY  531234  06/18",-4.68,
DEBIT,06/16/2014,"ROBERT ROSENKRANZ, D.D. BROOKLYN NY          06/15",-75.00,
DEBIT,06/16/2014,"SQ *CAFE GRUMPY - PARK Brooklyn NY           06/15",-7.25,
DEBIT,06/16/2014,"Duane Reade 750 NEW YO BROOKLYN NY   213936  06/16",-11.75,
DEBIT,06/16/2014,"TRADER JOE'S # 543 NEW YORK NY       901288  06/16",-45.22,
DEBIT,06/13/2014,"MTA VENDING MACHINES NEW YORK NY     625027  06/13",-112.00,
DEBIT,06/11/2014,"GREYHOUND LINES CNP 214-849-8966 TX          06/11",-129.50,
DEBIT,06/11/2014,"OTHERWORLDC 800-275-4576 IL                  06/10",-107.79,
DEBIT,06/11/2014,"275 SEVEN 275 SEVENTH NEW YORK NY            06/11",-6.51,
DEBIT,06/11/2014,"THE VITAMIN SHOPPE #42 NEW YORK NY           06/11",-29.99,
DEBIT,06/10/2014,"012 GLOBAL 561-393-1005 FL                   06/09",-20.00,
DEBIT,06/10/2014,"TARGET T2212 TARGET T2 BROOKLYN NY   850967  06/10",-25.77,
DEBIT,06/09/2014,"286 BAGEL CORPORAT NEW YORK NY               06/06",-7.24,
DEBIT,06/09/2014,"TRADER JOE'S # 558 BROOKLYN NY       689960  06/07",-27.05,
DEBIT,06/09/2014,"SAHADI'S BROOKLYN NY                 643571  06/07",-20.40,
DEBIT,06/09/2014,"SQ *LITTLE ZELDA New York NY                 06/07",-5.31,
DEBIT,06/09/2014,"HANA FOOD BROOKLYN NY                        06/08",-8.00,
DEBIT,06/09/2014,"MOMO MILK BROOKLYN NY                        06/08",-14.97,
DEBIT,06/05/2014,"MTA VENDING MACHINES NEW YORK NY     348662  06/05",-30.00,
DEBIT,06/05/2014,"275 SEVENTH AVE 275 SE NEW YORK NY   360014  06/05",-3.26,
DEBIT,06/05/2014,"TARGET T2212 TARGET T2 BROOKLYN NY   311602  06/05",-30.75,
DEBIT,06/03/2014,"BARBES BROOKLYN NY                           06/03",-12.00,
DEBIT,06/03/2014,"Online Payment 3957368514 To conEdison 06/03",-18.66,
DEBIT,06/02/2014,"SUBWAY        00381970 NEW YORK NY           05/30",-5.99,
DEBIT,06/02/2014,"BARNES & NOBLE #2965 BROOKLYN NY             06/01",-14.10,
DEBIT,06/02/2014,"GAP OUTLET USA BROOKLYN NY           832358  06/01",-24.00,
DEBIT,06/02/2014,"H&M NEW YORK NY                      338587  06/01",-14.95,
DEBIT,06/02/2014,"TARGET T2212 TARGET T2 BROOKLYN NY   420336  06/02",-28.47,
DEBIT,05/30/2014,"OTHERWORLDC 800-275-4576 IL                  05/28",-59.87,
DEBIT,05/30/2014,"STARBUCKS CARD RELOAD 800-782-7282 WA        05/30",-20.00,
DEBIT,05/30/2014,"KAVA CAFE NEW YORK NY                        05/29",-9.24,
DEBIT,05/29/2014,"AMERICAN AI 00123901501 DALLAS TX            05/27",-247.00,
DEBIT,05/29/2014,"AMERICAN AI 00106520438 DALLAS TX            05/27",-25.00,
DEBIT,05/28/2014,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        05/28",-8.95,
DEBIT,05/28/2014,"WHOLE FOODS MARK 250 S Manhattan NY  601261  05/28",-4.68,
DEBIT,05/28/2014,"TARGET T2212 TARGET T2 BROOKLYN NY   338084  05/28",-28.87,
CREDIT,05/27/2014,"Online Transfer from SAV ...9608 transaction#: 3941305936",1020.00,
DEBIT,05/27/2014,"CVS 10041 10041--500 W MANHATTAN NY  427205  05/23",-3.19,
DEBIT,05/27/2014,"BLINK MOTO #606 888-566-4223 NY              05/23",-15.68,
DEBIT,05/23/2014,"SMILERS NEW YORK NY                          05/22",-7.84,
DEBIT,05/22/2014,"YOGU MOO BROOKLYN NY                         05/20",-5.78,
DEBIT,05/22/2014,"BARBONCINO BROOKLYN NY                       05/21",-43.02,
DEBIT,05/22/2014,"WHOLE FOODS MARK 250 S Manhattan NY  841861  05/22",-2.39,
DEBIT,05/22/2014,"ATM WITHDRAWAL                       005282  05/22245 7TH A",-160.00,
DEBIT,05/21/2014,"LULA BAGEL BROOKLYN NY                       05/19",-12.00,
DEBIT,05/21/2014,"SQ *CAFE GRUMPY - PARK Brooklyn NY           05/20",-8.50,
DEBIT,05/21/2014,"HESS 32530 BROOKLYN NY               065264  05/20",-11.76,
DEBIT,05/21/2014,"Staples, Inc NEW YORK NY             945645  05/21",-2.17,
DEBIT,05/21/2014,"WHOLE FOODS MARK 250 S Manhattan NY  202937  05/21",-2.39,
CREDIT,05/20/2014,"TSVIKI MORAN     SENDER     NADAV LACHISH   CIE ID: 1770527921",150.00,
CREDIT,05/20/2014,"TSVIKI MORAN     SENDER     NADAV LACHISH   CIE ID: 1770527921",150.00,
DEBIT,05/20/2014,"MURRAYS BAGEL NEW YORK NY                    05/18",-4.30,
DEBIT,05/20/2014,"SUBWAY        03406857 BROOKLYN NY           05/19",-6.52,
CREDIT,05/19/2014,"Online Transfer from SAV ...9608 transaction#: 3927140744",300.00,
DEBIT,05/19/2014,"FRANKLIN PARK BROOKLYN NY                    05/15",-16.00,
DEBIT,05/19/2014,"CHIPOTLE 0482 NEW YORK NY                    05/16",-9.75,
DEBIT,05/19/2014,"Online Payment 3927139298 To CAPITAL ONE 05/19",-179.22,
DEBIT,05/19/2014,"NYC TAXI 4M29 BROOKLYN NY                    05/18",-12.60,
DEBIT,05/19/2014,"MCDONALD'S F2002 NEW YORK NY                 05/18",-1.84,
DEBIT,05/19/2014,"OLD NAVY USA Brooklyn NY             690469  05/19",-22.88,
DEBIT,05/16/2014,"WHOLE FOODS MARK 250 S Manhattan NY  802855  05/16",-2.39,
DEBIT,05/15/2014,"BARBONCINO BROOKLYN NY                       05/14",-16.34,
DEBIT,05/15/2014,"MURRAYS BAGEL NEW YORK NY                    05/14",-5.39,
DEBIT,05/14/2014,"WHOLE FOODS MARK 250 S Manhattan NY  509871  05/14",-4.68,
DEBIT,05/13/2014,"CHARTWELLS    21116926 PURCHASE NY           05/12",-5.36,
DEBIT,05/13/2014,"CANTEEN VENDING V PURCHASE NY                05/12",-1.50,
DEBIT,05/12/2014,"STARBUCKS CARD RELOAD 800-782-7282 WA        05/09",-20.00,
DEBIT,05/12/2014,"SUBWAY        03166600 NEW YORK NY           05/09",-5.99,
DEBIT,05/12/2014,"71 Irving Place Coffee New York NY           05/10",-16.98,
DEBIT,05/09/2014,"B&H PHOTO 800-2282443 NY                     05/08",21.76,
DEBIT,05/09/2014,"B & H PHOTO-VIDEO RETAI NEW YORK NY          05/08",-21.76,
DEBIT,05/09/2014,"WHOLE FOODS MARK 250 S Manhattan NY  161523  05/09",-4.78,
DEBIT,05/08/2014,"Online Payment 3908992769 To national grid 05/08",-22.04,
DEBIT,05/08/2014,"WHOLE FOODS MARK 250 S Manhattan NY  701329  05/08",-2.39,
DEBIT,05/06/2014,"Online Payment 3906030298 To conEdison 05/06",-19.24,
CREDIT,05/05/2014,"Online Transfer from SAV ...9608 transaction#: 3901156559",250.00,
DEBIT,05/05/2014,"LULA BAGEL BROOKLYN NY                       05/02",-14.00,
DEBIT,05/05/2014,"MCDONALD'S F2767 NEW YORK NY                 05/02",-3.90,
DEBIT,05/05/2014,"MAGNOLIA BLEECKER ST NEW YORK NY             05/02",-10.00,
DEBIT,05/05/2014,"BARBONCINO BROOKLYN NY                       05/02",-38.00,
DEBIT,05/05/2014,"BARBONCINO BROOKLYN NY                       05/02",-67.62,
DEBIT,05/05/2014,"TARGET T2212 TARGET T2 BROOKLYN NY   040493  05/03",-6.52,
DEBIT,05/05/2014,"METRO-NORTH TVM & TOM 212-340-4944 NY        05/05",-8.50,
DEBIT,05/02/2014,"Duane Reade 625 8TH AV NEW YORK NY   734759  05/02",-5.18,
DEBIT,05/01/2014,"Purchase Coll Bookstor purchase NY   427425  05/01",-1.88,
DEBIT,05/01/2014,"TARGET T2212 TARGET T2 BROOKLYN NY   027139  05/01",-31.18,
DEBIT,05/01/2014,"RITE AID CORP. BROOKLYN NY           500852  05/01",-4.34,
DEBIT,04/30/2014,"FRANCESCA'S #439 NEW YORK NY                 04/28",-13.07,
DEBIT,04/30/2014,"STARBUCKS CARD RELOAD 800-782-7282 WA        04/30",-20.00,
DEBIT,04/30/2014,"RITE AID CORP. NEW YORK NY           813350  04/30",-4.02,
DEBIT,04/29/2014,"LULA BAGEL BROOKLYN NY                       04/27",-13.00,
DEBIT,04/29/2014,"WHOLE FOODS MARK 250 S Manhattan NY  927992  04/29",-6.68,
DEBIT,04/29/2014,"ATM WITHDRAWAL                       000651  04/292683 BROA",-20.00,
CREDIT,04/28/2014,"Online Transfer from SAV ...9608 transaction#: 3887710386",300.00,
DEBIT,04/28/2014,"SUBWAY        03269040 BROOKLYN NY           04/27",-5.44,
DEBIT,04/28/2014,"Purchase Coll Bookstor purchase NY   406018  04/28",-3.48,
